iter:214, x:21.177, y:-10.943, z:-18.882, phi:0.000, theta:0.000, psi:2.230 
iter:215, x:21.319, y:-11.062, z:-19.015, phi:0.000, theta:0.000, psi:2.235 
iter:216, x:21.441, y:-11.164, z:-19.130, phi:0.000, theta:0.000, psi:2.241 
iter:217, x:21.604, y:-11.299, z:-19.282, phi:0.000, theta:0.000, psi:2.248 
iter:218, x:21.745, y:-11.418, z:-19.415, phi:0.000, theta:0.000, psi:2.255 
iter:219, x:21.867, y:-11.519, z:-19.529, phi:0.000, theta:0.000, psi:2.262 
iter:220, x:22.008, y:-11.637, z:-19.663, phi:0.000, theta:0.000, psi:2.270 
iter:221, x:22.129, y:-11.739, z:-19.777, phi:0.000, theta:0.000, psi:2.278 
iter:222, x:22.271, y:-11.857, z:-19.910, phi:0.000, theta:-0.000, psi:2.287 
iter:223, x:22.432, y:-11.991, z:-20.062, phi:0.000, theta:-0.000, psi:2.298 
iter:224, x:22.532, y:-12.075, z:-20.157, phi:0.000, theta:-0.000, psi:2.305 
iter:225, x:22.693, y:-12.209, z:-20.310, phi:0.000, theta:-0.000, psi:2.318 
iter:226, x:22.793, y:-12.293, z:-20.405, phi:0.000, theta:-0.000, psi:2.326 
iter:227, x:22.954, y:-12.427, z:-20.558, phi:0.000, theta:-0.000, psi:2.339 
iter:228, x:23.094, y:-12.544, z:-20.691, phi:0.000, theta:-0.000, psi:2.353 
iter:229, x:23.214, y:-12.644, z:-20.806, phi:0.000, theta:-0.000, psi:2.362 
iter:230, x:23.374, y:-12.778, z:-20.959, phi:0.000, theta:-0.000, psi:2.376 
iter:231, x:23.473, y:-12.861, z:-21.054, phi:0.000, theta:-0.000, psi:2.386 
iter:232, x:23.633, y:-12.994, z:-21.208, phi:0.000, theta:-0.000, psi:2.401 
iter:233, x:23.732, y:-13.077, z:-21.304, phi:0.000, theta:-0.000, psi:2.413 
iter:234, x:23.891, y:-13.210, z:-21.457, phi:0.000, theta:-0.000, psi:2.427 
